tag,collaboration,category,channel,arxiv,doi,inspire_id,hepdata_id,hepdata_status,local_hepdata_tags,local_hepdata_table_count,paper_pdf_available,arxiv_source_available,paper_pdf_path,arxiv_source_path,notes
BNL_E821_2006_final_gminus2_PRD73_072003,Muon g-2,g-2 experiment,muon anomalous magnetic moment a_mu,hep-ex/0602035,10.1103/PhysRevD.73.072003,710962,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/BNL_E821_2006_final_gminus2_PRD73_072003_hep-ex_0602035.pdf,raw_papers/arxiv_source/BNL_E821_2006_final_gminus2_PRD73_072003_hep-ex_0602035.tar,
Fermilab_E989_2025_positive_muon_gminus2_127ppb,Muon g-2,g-2 experiment,positive muon anomalous magnetic moment a_mu,2506.03069,10.1103/7clf-sm2v,,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/Fermilab_E989_2025_positive_muon_gminus2_127ppb_2506.03069.pdf,raw_papers/arxiv_source/Fermilab_E989_2025_positive_muon_gminus2_127ppb_2506.03069.tar,
CODATA_2022_fundamental_constants,CODATA/NIST,alpha reference,fine-structure constant alpha and alpha^-1,2409.03787,,,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/CODATA_2022_fundamental_constants_2409.03787.pdf,raw_papers/arxiv_source/CODATA_2022_fundamental_constants_2409.03787.tar,
PDG_2024_electroweak_alpha_MZ,Particle Data Group,alpha(MZ) reference,"electroweak fit alpha^(5)(MZ), Delta alpha_had",,10.1103/PhysRevD.110.030001,,,no_hepdata_record_identified,,0,yes,no,raw_papers/direct_pdf/PDG_2024_electroweak_alpha_MZ.pdf,,
KLOE_2005_pipi_gamma_PLB606_12,KLOE,exclusive hadronic channel,e+e- -> pi+ pi- gamma; extracted e+e- -> pi+ pi-,hep-ex/0407048,10.1016/j.physletb.2004.11.068,655225,ins655225,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/KLOE_2005_pipi_gamma_PLB606_12_hep-ex_0407048.pdf,raw_papers/arxiv_source/KLOE_2005_pipi_gamma_PLB606_12_hep-ex_0407048.tar,
KLOE_2009_pipi_gamma_PLB670_285,KLOE,exclusive hadronic channel,e+e- -> pi+ pi- gamma(gamma); dipion contribution to a_mu,0809.3950,10.1016/j.physletb.2008.10.060,797438,ins797438,hepdata_downloaded_validated,KLOE_2009_pipi_gamma_B670_285,3,yes,yes,raw_papers/arxiv_pdf/KLOE_2009_pipi_gamma_PLB670_285_0809.3950.pdf,raw_papers/arxiv_source/KLOE_2009_pipi_gamma_PLB670_285_0809.3950.tar,
KLOE_2011_pipi_gamma_PLB700_102,KLOE,exclusive hadronic channel,e+e- -> pi+ pi- from threshold to 0.85 GeV^2 using ISR,1006.5313,10.1016/j.physletb.2011.04.055,859660,ins859660,hepdata_downloaded_validated,KLOE_2011_pipi_gamma_B700_102,15,yes,yes,raw_papers/arxiv_pdf/KLOE_2011_pipi_gamma_PLB700_102_1006.5313.pdf,raw_papers/arxiv_source/KLOE_2011_pipi_gamma_PLB700_102_1006.5313.tar,
KLOE_2008_omega_pi0_PLB669_223,KLOE,exclusive hadronic channel,e+e- -> omega pi0 near phi,0807.4909,10.1016/j.physletb.2008.09.056,791841,ins791841,hepdata_downloaded_validated,KLOE_2008_omega_pi0_B669_223,2,yes,yes,raw_papers/arxiv_pdf/KLOE_2008_omega_pi0_PLB669_223_0807.4909.pdf,raw_papers/arxiv_source/KLOE_2008_omega_pi0_PLB669_223_0807.4909.tar,
BaBar_2005_4pi_KKpipi_KKKK_PRD71_052001,BaBar,exclusive hadronic channel,"e+e- -> pi+pi-pi+pi-, K+K-pi+pi-, K+K-K+K- using ISR",hep-ex/0502025,10.1103/PhysRevD.71.052001,676691,ins676691,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/BaBar_2005_4pi_KKpipi_KKKK_PRD71_052001_hep-ex_0502025.pdf,raw_papers/arxiv_source/BaBar_2005_4pi_KKpipi_KKKK_PRD71_052001_hep-ex_0502025.tar,
BaBar_2006_6pi_KK4pi_PRD73_052003,BaBar,exclusive hadronic channel,"e+e- -> 3(pi+pi-), 2(pi+pi-pi0), K+K-2(pi+pi-) using ISR",hep-ex/0602006,10.1103/PhysRevD.73.052003,709730,ins709730,hepdata_downloaded_validated,BaBar_2005_3pi_D71_052001;BaBar_2006_4pi5pi_D73_052003;BaBar_2009_pipi_PRL103_231801,9,yes,yes,raw_papers/arxiv_pdf/BaBar_2006_6pi_KK4pi_PRD73_052003_hep-ex_0602006.pdf,raw_papers/arxiv_source/BaBar_2006_6pi_KK4pi_PRD73_052003_hep-ex_0602006.tar,
BaBar_2007_KKpipi_KKpi0pi0_KKKK_PRD76_012008,BaBar,exclusive hadronic channel,"e+e- -> K+K-pi+pi-, K+K-pi0pi0, K+K-K+K- using ISR",0704.0630,10.1103/PhysRevD.76.012008,747875,ins747875,hepdata_downloaded_validated,BaBar_2007_KKpipi_D76_092005,7,yes,yes,raw_papers/arxiv_pdf/BaBar_2007_KKpipi_KKpi0pi0_KKKK_PRD76_012008_0704.0630.pdf,raw_papers/arxiv_source/BaBar_2007_KKpipi_KKpi0pi0_KKKK_PRD76_012008_0704.0630.tar,
BaBar_2007_5body_ISR_PRD76_092005,BaBar,exclusive hadronic channel,"e+e- -> 2(pi+pi-)pi0, 2(pi+pi-)eta, K+K-pi+pi-pi0/eta using ISR",0708.2461,10.1103/PhysRevD.76.092005,758568,ins758568,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/BaBar_2007_5body_ISR_PRD76_092005_0708.2461.pdf,raw_papers/arxiv_source/BaBar_2007_5body_ISR_PRD76_092005_0708.2461.tar,
