tag,year,collaboration,category,channel,arxiv,doi,inspire_id,hepdata_id,priority,arxiv_pdf_status,arxiv_pdf_path,arxiv_source_status,arxiv_source_path
KLOE_2013_pimu_ratio_PLB720_336,2013,KLOE,exclusive pi+pi-,"sigma(pi+pi-gamma)/sigma(mu+mu-gamma), a_mu^pipi",1212.4524,10.1016/j.physletb.2013.02.029,1208095,,high,downloaded,post2011/raw_papers/arxiv_pdf/KLOE_2013_pimu_ratio_PLB720_336_1212.4524.pdf,downloaded,post2011/raw_papers/arxiv_source/KLOE_2013_pimu_ratio_PLB720_336_1212.4524.tar
KLOE2_2018_pipi_combination_JHEP03_173,2018,KLOE-2,exclusive pi+pi- combination,combination of KLOE 2008/2010/2012 pi+pi-gamma measurements,1711.03085,10.1007/JHEP03(2018)173,1634981,,high,downloaded,post2011/raw_papers/arxiv_pdf/KLOE2_2018_pipi_combination_JHEP03_173_1711.03085.pdf,downloaded,post2011/raw_papers/arxiv_source/KLOE2_2018_pipi_combination_JHEP03_173_1711.03085.tar
BaBar_2012_pipi_PRD86_032013,2012,BaBar,exclusive pi+pi-,"e+e- -> pi+pi-(gamma), full ISR analysis",1205.2228,10.1103/PhysRevD.86.032013,1114155,ins1114155,high,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2012_pipi_PRD86_032013_1205.2228.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2012_pipi_PRD86_032013_1205.2228.tar
BaBar_2017_pipipi0pi0_PRD96_092009,2017,BaBar,exclusive multihadron,e+e- -> pi+pi-2pi0 using ISR,1709.01171,10.1103/PhysRevD.96.092009,1621593,,medium,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2017_pipipi0pi0_PRD96_092009_1709.01171.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2017_pipipi0pi0_PRD96_092009_1709.01171.tar
BaBar_2017_KSKLpi0_KSKLeta_PRD95_052001,2017,BaBar,exclusive strange channels,"K_S K_L pi0, K_S K_L eta, K_S K_L pi0 pi0 via ISR",1701.08297,10.1103/PhysRevD.95.052001,1511276,,medium,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2017_KSKLpi0_KSKLeta_PRD95_052001_1701.08297.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2017_KSKLpi0_KSKLeta_PRD95_052001_1701.08297.tar
BaBar_2018_pipieta_PRD97_052007,2018,BaBar,exclusive multihadron,e+e- -> pi+pi- eta using ISR,1801.02960,10.1103/PhysRevD.97.052007,1647139,,medium,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2018_pipieta_PRD97_052007_1801.02960.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2018_pipieta_PRD97_052007_1801.02960.tar
BaBar_2018_5pion_eta_PRD98_112015,2018,BaBar,exclusive multihadron,pi+pi-3pi0 gamma and pi+pi-2pi0 eta gamma using ISR,1810.11962,10.1103/PhysRevD.98.112015,1700745,,medium,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2018_5pion_eta_PRD98_112015_1810.11962.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2018_5pion_eta_PRD98_112015_1810.11962.tar
BaBar_2023_additional_ISR_radiation_PRD108_L111103,2023,BaBar,radiative-correction control,additional radiation in mu+mu-gamma and pi+pi-gamma ISR,2308.05233,10.1103/PhysRevD.108.L111103,2686999,,high,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2023_additional_ISR_radiation_PRD108_L111103_2308.05233.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2023_additional_ISR_radiation_PRD108_L111103_2308.05233.tar
BaBar_2024_ISR_cross_sections_status,2024,BaBar,conference status,status of renewed BaBar ISR hadronic cross-section work,2405.10806,,2787987,,context,downloaded,post2011/raw_papers/arxiv_pdf/BaBar_2024_ISR_cross_sections_status_2405.10806.pdf,downloaded,post2011/raw_papers/arxiv_source/BaBar_2024_ISR_cross_sections_status_2405.10806.tar
BESIII_2016_pipi_PLB753_629,2016,BESIII,exclusive pi+pi-,e+e- -> pi+pi- between 600 and 900 MeV using ISR,1507.08188,10.1016/j.physletb.2015.11.043,1385603,ins1385603,high,downloaded,post2011/raw_papers/arxiv_pdf/BESIII_2016_pipi_PLB753_629_1507.08188.pdf,downloaded,post2011/raw_papers/arxiv_source/BESIII_2016_pipi_PLB753_629_1507.08188.tar
BESIII_2022_R_PRL128_062004,2022,BESIII,inclusive R(s),R(e+e- -> hadrons) from 2.2324 to 3.6710 GeV,2112.11728,10.1103/PhysRevLett.128.062004,1996394,,high,downloaded,post2011/raw_papers/arxiv_pdf/BESIII_2022_R_PRL128_062004_2112.11728.pdf,downloaded,post2011/raw_papers/arxiv_source/BESIII_2022_R_PRL128_062004_2112.11728.tar
BESIII_2019_KKKK_PRD100_032009,2019,BESIII,exclusive strange channels,e+e- -> K+K-K+K- and phi K+K- from 2.10 to 3.08 GeV,1907.06015,10.1103/PhysRevD.100.032009,1743841,,low,downloaded,post2011/raw_papers/arxiv_pdf/BESIII_2019_KKKK_PRD100_032009_1907.06015.pdf,downloaded,post2011/raw_papers/arxiv_source/BESIII_2019_KKKK_PRD100_032009_1907.06015.tar
CLEOc_2018_pipi_PRD97_032012,2018,CLEO-c,exclusive pi+pi-,e+e- -> pi+pi- from 0.30 to 1.00 GeV using ISR,1712.04530,10.1103/PhysRevD.97.032012,1643020,ins1643020,high,downloaded,post2011/raw_papers/arxiv_pdf/CLEOc_2018_pipi_PRD97_032012_1712.04530.pdf,downloaded,post2011/raw_papers/arxiv_source/CLEOc_2018_pipi_PRD97_032012_1712.04530.tar
SND_2016_pi0gamma_PRD93_092001,2016,SND,exclusive neutral channel,e+e- -> pi0 gamma at 0.6--1.4 GeV,1601.08061,10.1103/PhysRevD.93.092001,1418483,ins1418483,medium,downloaded,post2011/raw_papers/arxiv_pdf/SND_2016_pi0gamma_PRD93_092001_1601.08061.pdf,downloaded,post2011/raw_papers/arxiv_source/SND_2016_pi0gamma_PRD93_092001_1601.08061.tar
SND_2016_omegapi0_PRD94_112001,2016,SND,exclusive neutral channel,e+e- -> omega pi0 -> pi0 pi0 gamma,1610.00235,10.1103/PhysRevD.94.112001,1489182,,medium,downloaded,post2011/raw_papers/arxiv_pdf/SND_2016_omegapi0_PRD94_112001_1610.00235.pdf,downloaded,post2011/raw_papers/arxiv_source/SND_2016_omegapi0_PRD94_112001_1610.00235.tar
SND_2018_etapipi_PRD97_012008,2018,SND,exclusive multihadron,e+e- -> eta pi+pi-,1711.08862,10.1103/PhysRevD.97.012008,1638368,,medium,downloaded,post2011/raw_papers/arxiv_pdf/SND_2018_etapipi_PRD97_012008_1711.08862.pdf,downloaded,post2011/raw_papers/arxiv_source/SND_2018_etapipi_PRD97_012008_1711.08862.tar
SND_2021_pipi_JHEP01_113,2021,SND,exclusive pi+pi-,e+e- -> pi+pi- at 0.525--0.883 GeV with VEPP-2000,2004.00263,10.1007/JHEP01(2021)113,1789269,ins1789269,high,downloaded,post2011/raw_papers/arxiv_pdf/SND_2021_pipi_JHEP01_113_2004.00263.pdf,downloaded,post2011/raw_papers/arxiv_source/SND_2021_pipi_JHEP01_113_2004.00263.tar
CMD3_2017_pipipi0eta_PLB773_150,2017,CMD-3,exclusive multihadron,e+e- -> pi+pi-pi0 eta from 1.394 to 2.005 GeV,1706.06267,10.1016/j.physletb.2017.08.019,1606078,,medium,downloaded,post2011/raw_papers/arxiv_pdf/CMD3_2017_pipipi0eta_PLB773_150_1706.06267.pdf,downloaded,post2011/raw_papers/arxiv_source/CMD3_2017_pipipi0eta_PLB773_150_1706.06267.tar
CMD3_2019_7pion_PLB792_419,2019,CMD-3,exclusive multihadron,e+e- -> 3(pi+pi-) pi0 from 1.6 to 2.0 GeV,1902.06449,,,,low,downloaded,post2011/raw_papers/arxiv_pdf/CMD3_2019_7pion_PLB792_419_1902.06449.pdf,downloaded,post2011/raw_papers/arxiv_source/CMD3_2019_7pion_PLB792_419_1902.06449.tar
CMD3_2022_KSKpimpipipi_PLB826,2022,CMD-3,exclusive strange channels,e+e- -> KS K pi pi pi from 1.6 to 2.0 GeV,2207.04615,,,,low,downloaded,post2011/raw_papers/arxiv_pdf/CMD3_2022_KSKpimpipipi_PLB826_2207.04615.pdf,downloaded,post2011/raw_papers/arxiv_source/CMD3_2022_KSKpimpipipi_PLB826_2207.04615.tar
CMD3_2024_pipi_PRD109_112002,2024,CMD-3,exclusive pi+pi-,e+e- -> pi+pi- from threshold to 1.2 GeV,2302.08834,10.1103/PhysRevD.109.112002,2634277,,critical,downloaded,post2011/raw_papers/arxiv_pdf/CMD3_2024_pipi_PRD109_112002_2302.08834.pdf,downloaded,post2011/raw_papers/arxiv_source/CMD3_2024_pipi_PRD109_112002_2302.08834.tar
CMD3_2023_pion_form_factor_implication,2023,CMD-3,exclusive pi+pi- interpretation,CMD-3 pion form factor and implication for muon g-2,2309.12910,,,,context,downloaded,post2011/raw_papers/arxiv_pdf/CMD3_2023_pion_form_factor_implication_2309.12910.pdf,downloaded,post2011/raw_papers/arxiv_source/CMD3_2023_pion_form_factor_implication_2309.12910.tar
KEDR_2016_R_PLB753_533,2016,KEDR,inclusive R(s),R_uds and R from 3.12 to 3.72 GeV,1510.02667,10.1016/j.physletb.2015.12.059,,,high,downloaded,post2011/raw_papers/arxiv_pdf/KEDR_2016_R_PLB753_533_1510.02667.pdf,downloaded,post2011/raw_papers/arxiv_source/KEDR_2016_R_PLB753_533_1510.02667.tar
KEDR_2017_R_PLB770_174,2017,KEDR,inclusive R(s),R between 1.84 and 3.05 GeV,1610.02827,10.1016/j.physletb.2017.04.073,1490900,,high,downloaded,post2011/raw_papers/arxiv_pdf/KEDR_2017_R_PLB770_174_1610.02827.pdf,downloaded,post2011/raw_papers/arxiv_source/KEDR_2017_R_PLB770_174_1610.02827.tar
KEDR_2019_R_PLB788_42,2019,KEDR,inclusive R(s),precise R_uds and R between 1.84 and 3.72 GeV,1805.06235,10.1016/j.physletb.2018.11.012,,,high,downloaded,post2011/raw_papers/arxiv_pdf/KEDR_2019_R_PLB788_42_1805.06235.pdf,downloaded,post2011/raw_papers/arxiv_source/KEDR_2019_R_PLB788_42_1805.06235.tar
MuonG2_E989_2021_PRL126_141801,2021,Muon g-2,g-2 experiment,"positive muon anomalous magnetic moment, Run 1",2104.03281,10.1103/PhysRevLett.126.141801,1856627,,critical,downloaded,post2011/raw_papers/arxiv_pdf/MuonG2_E989_2021_PRL126_141801_2104.03281.pdf,downloaded,post2011/raw_papers/arxiv_source/MuonG2_E989_2021_PRL126_141801_2104.03281.tar
MuonG2_E989_2023_PRL131_161802,2023,Muon g-2,g-2 experiment,positive muon anomalous magnetic moment to 0.20 ppm,2308.06230,10.1103/PhysRevLett.131.161802,2687002,,critical,downloaded,post2011/raw_papers/arxiv_pdf/MuonG2_E989_2023_PRL131_161802_2308.06230.pdf,downloaded,post2011/raw_papers/arxiv_source/MuonG2_E989_2023_PRL131_161802_2308.06230.tar
MuonG2_E989_2025_PRL135_101802,2025,Muon g-2,g-2 experiment,positive muon anomalous magnetic moment to 127 ppb,2506.03069,10.1103/7clf-sm2v,2928642,,critical,downloaded,post2011/raw_papers/arxiv_pdf/MuonG2_E989_2025_PRL135_101802_2506.03069.pdf,downloaded,post2011/raw_papers/arxiv_source/MuonG2_E989_2025_PRL135_101802_2506.03069.tar
MuonG2_TI_2020_white_paper,2020,Muon g-2 Theory Initiative,SM/HVP evaluation,Standard Model prediction white paper,2006.04822,10.1016/j.physrep.2020.07.006,1800513,,critical,downloaded,post2011/raw_papers/arxiv_pdf/MuonG2_TI_2020_white_paper_2006.04822.pdf,downloaded,post2011/raw_papers/arxiv_source/MuonG2_TI_2020_white_paper_2006.04822.tar
MuonG2_TI_2025_update,2025,Muon g-2 Theory Initiative,SM/HVP evaluation,updated SM prediction and status of lattice/data-driven tension,2505.21476,10.1016/j.physrep.2025.08.002,2925594,,critical,downloaded,post2011/raw_papers/arxiv_pdf/MuonG2_TI_2025_update_2505.21476.pdf,downloaded,post2011/raw_papers/arxiv_source/MuonG2_TI_2025_update_2505.21476.tar
